accuracy,recall,precision,Patients
99.54,78.79,89.66,chb01
99.36,81.01,92.75,chb02
99.14,67.54,73.33,chb03
99.64,74.51,83.52,chb04
99.13,79.76,91.16,chb05
99.83,4.08,66.67,chb06
99.89,93.2,96.0,chb07
97.57,61.94,85.13,chb08
99.83,84.38,96.43,chb09
99.67,70.71,91.67,chb10
98.97,89.29,98.25,chb11
99.4,28.85,65.22,chb14
